CoreId,associatedObservationReference,Identifier,type,Rating,rightsHolder,creator,accessURI,format,variantLiteral,description,caption,resourceCreationTechnique,captureDevice,physicalSetting,license
892922@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892922,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC892922-44792%5B1%5D.mp3,Sound,5,Chris Harrison,Chris Harrison,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC892922-44792%5B1%5D.mp3,audio/mp3,ac:BestQuality,26 s,,automatic recording: no; bitrate: 103385 bps; bitrate mode: vbr; audio sampling rate: 44100 Hz; number of channels: 1; lossy,Olympus LS-11 |,Natural,CC BY-NC-SA 4.0
892921@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892921,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/wave/XC892921-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/wave/XC892921-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
892921@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892921,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/ffts/XC892921-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/ffts/XC892921-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
892921@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892921,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC892921-29205%5B1%5D.mp3,Sound,5,Chris Harrison,Chris Harrison,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC892921-29205%5B1%5D.mp3,audio/mp3,ac:BestQuality,12 s,,automatic recording: no; bitrate: 132992 bps; bitrate mode: vbr; audio sampling rate: 48000 Hz; number of channels: 1; lossy,Olympus LS-11 |,Natural,CC BY-NC-SA 4.0
892920@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892920,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/wave/XC892920-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/wave/XC892920-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
892920@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892920,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/ffts/XC892920-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/ffts/XC892920-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
892920@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892920,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC892920-39036%5B1%5D.mp3,Sound,5,Chris Harrison,Chris Harrison,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC892920-39036%5B1%5D.mp3,audio/mp3,ac:BestQuality,17 s,,automatic recording: no; bitrate: 143347 bps; bitrate mode: vbr; audio sampling rate: 44100 Hz; number of channels: 1; lossy,Tascam DR-H4N | Sennheiser ME67/K6,Natural,CC BY-NC-SA 4.0
892889@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892889,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/wave/XC892889-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/wave/XC892889-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
892889@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892889,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/ffts/XC892889-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/ffts/XC892889-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
892889@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892889,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC892889-882019%5B1%5D.wav,Sound,5,Chris Harrison,Chris Harrison,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC892889-882019%5B1%5D.wav,audio/wav,ac:BestQuality,15 s,,automatic recording: no; bitrate: 1536000 bps; bitrate mode: cbr; audio sampling rate: 48000 Hz; number of channels: 2; lossless,Olympus LS-11 | Sennheiser ME66/K6,Natural,CC BY-NC-SA 4.0
892882@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892882,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/wave/XC892882-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/wave/XC892882-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
892882@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892882,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/ffts/XC892882-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/ffts/XC892882-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
892882@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892882,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC892882-141226_0512_Syndicate_Road_LIT-RHE.mp3,Sound,5,Chris Harrison,Chris Harrison,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC892882-141226_0512_Syndicate_Road_LIT-RHE.mp3,audio/mp3,ac:BestQuality,19 s,,automatic recording: no; bitrate: 320000 bps; bitrate mode: cbr; audio sampling rate: 48000 Hz; number of channels: 2; lossy,Olympus LS-11 | Sennheiser ME66/K6,Natural,CC BY-NC-SA 4.0
892876@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892876,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/wave/XC892876-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/wave/XC892876-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
892876@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892876,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/ffts/XC892876-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/ffts/XC892876-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
892876@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892876,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC892876-21534%5B1%5D.mp3,Sound,5,Chris Harrison,Chris Harrison,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC892876-21534%5B1%5D.mp3,audio/mp3,ac:BestQuality,10 s,,automatic recording: no; bitrate: 128000 bps; bitrate mode: cbr; audio sampling rate: 22050 Hz; number of channels: 1; lossy,Olympus LS-11 | Sennheiser ME66/K6,Natural,CC BY-NC-SA 4.0
892875@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892875,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/wave/XC892875-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/wave/XC892875-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
892875@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892875,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/ffts/XC892875-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/ffts/XC892875-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
892875@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892875,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC892875-21533%5B1%5D.mp3,Sound,5,Chris Harrison,Chris Harrison,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC892875-21533%5B1%5D.mp3,audio/mp3,ac:BestQuality,10 s,,automatic recording: no; bitrate: 64000 bps; bitrate mode: cbr; audio sampling rate: 11025 Hz; number of channels: 1; lossy,Olympus LS-11 | Sennheiser ME66/K6,Natural,CC BY-NC-SA 4.0
892874@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892874,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/wave/XC892874-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/wave/XC892874-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
