id,occurrenceID,catalogNumber,basisOfRecord,collectionCode,dynamicProperties,otherCatalogNumbers,genus,specificEpithet,infraspecificEpithet,scientificName,taxonRank,kingdom,family,higherClassification,nomenclaturalCode,identificationRemarks,vernacularName,longitudeDecimal,latitudeDecimal,geodeticDatum,country,locality,verbatimElevation,recordedBy,eventDate,eventTime,verbatimEventDate,fieldNotes,behavior,sex,lifeStage,preparations,references,Associated Taxa,rightsHolder,license
896193@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896193,XC896193,HumanObservation,Wildlife sounds - Frogs,,,Rana,arvalis,,Rana arvalis,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Moor Frog,4.4405,51.4024,WGS84,Belgium,"Pluisven (near  Kalmthout), Antwerpen, Vlaams Gewest",20 m,Bram Vogels,2023-03-19,09:00,2023-03-19,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896193,,Bram Vogels,CC BY-NC
896192@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896192,XC896192,HumanObservation,Wildlife sounds - Frogs,,,Rana,arvalis,,Rana arvalis,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Moor Frog,4.4405,51.4024,WGS84,Belgium,"Pluisven (near  Kalmthout), Antwerpen, Vlaams Gewest",20 m,Bram Vogels,2022-03-14,09:00,2022-03-14,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896192,,Bram Vogels,CC BY-NC
896191@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896191,XC896191,HumanObservation,Wildlife sounds - Frogs,,,Rana,arvalis,,Rana arvalis,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Moor Frog,4.4405,51.4024,WGS84,Belgium,"Pluisven (near  Kalmthout), Antwerpen, Vlaams Gewest",20 m,Bram Vogels,2022-03-14,09:00,2022-03-14,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896191,,Bram Vogels,CC BY-NC
896190@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896190,XC896190,HumanObservation,Wildlife sounds - Frogs,,,Rana,arvalis,,Rana arvalis,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Moor Frog,4.4405,51.4024,WGS84,Belgium,"Pluisven (near  Kalmthout), Antwerpen, Vlaams Gewest",20 m,Bram Vogels,2022-03-13,09:00,2022-03-13,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896190,,Bram Vogels,CC BY-NC
896189@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896189,XC896189,HumanObservation,Wildlife sounds - Frogs,,,Rana,arvalis,,Rana arvalis,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Moor Frog,4.434,51.4218,WGS84,Belgium,"Arrondissement Antwerpen (near  Kalmthout), Antwerp, Flanders",10 m,Bram Vogels,2021-03-03,09:00,2021-03-03,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896189,,Bram Vogels,CC BY-NC
896188@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896188,XC896188,HumanObservation,Wildlife sounds - Frogs,,,Rana,arvalis,,Rana arvalis,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Moor Frog,4.434,51.4218,WGS84,Belgium,"Arrondissement Antwerpen (near  Kalmthout), Antwerp, Flanders",10 m,Bram Vogels,2021-03-03,09:00,2021-03-03,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896188,,Bram Vogels,CC BY-NC
896187@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896187,XC896187,HumanObservation,Wildlife sounds - Frogs,,,Rana,arvalis,,Rana arvalis,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Moor Frog,4.434,51.4218,WGS84,Belgium,"Arrondissement Antwerpen (near  Kalmthout), Antwerp, Flanders",10 m,Bram Vogels,2021-03-03,09:00,2021-03-03,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896187,,Bram Vogels,CC BY-NC
896186@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896186,XC896186,HumanObservation,Wildlife sounds - Frogs,,,Rana,arvalis,,Rana arvalis,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Moor Frog,4.434,51.4218,WGS84,Belgium,"Arrondissement Antwerpen (near  Kalmthout), Antwerp, Flanders",10 m,Bram Vogels,2021-03-03,09:00,2021-03-03,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896186,,Bram Vogels,CC BY-NC
896185@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896185,XC896185,HumanObservation,Wildlife sounds - Frogs,,,Rana,arvalis,,Rana arvalis,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Moor Frog,4.434,51.4218,WGS84,Belgium,"Arrondissement Antwerpen (near  Kalmthout), Antwerp, Flanders",10 m,Bram Vogels,2021-03-03,09:00,2021-03-03,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896185,,Bram Vogels,CC BY-NC
896184@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896184,XC896184,HumanObservation,Wildlife sounds - Frogs,,,Rana,arvalis,,Rana arvalis,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Moor Frog,4.434,51.4218,WGS84,Belgium,"Arrondissement Antwerpen (near  Kalmthout), Antwerp, Flanders",10 m,Bram Vogels,2021-03-03,09:00,2021-03-03,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896184,,Bram Vogels,CC BY-NC
896183@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896183,XC896183,HumanObservation,Wildlife sounds - Frogs,,,Rana,arvalis,,Rana arvalis,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Moor Frog,4.434,51.4218,WGS84,Belgium,"Arrondissement Antwerpen (near  Kalmthout), Antwerp, Flanders",10 m,Bram Vogels,2021-03-03,09:00,2021-03-03,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896183,,Bram Vogels,CC BY-NC
896182@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896182,XC896182,HumanObservation,Wildlife sounds - Frogs,,,Rana,arvalis,,Rana arvalis,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Moor Frog,4.434,51.4218,WGS84,Belgium,"Arrondissement Antwerpen (near  Kalmthout), Antwerp, Flanders",10 m,Bram Vogels,2021-03-03,09:00,2021-03-03,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896182,,Bram Vogels,CC BY-NC
896181@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896181,XC896181,HumanObservation,Wildlife sounds - Frogs,,,Rana,arvalis,,Rana arvalis,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Moor Frog,4.434,51.4218,WGS84,Belgium,"Arrondissement Antwerpen (near  Kalmthout), Antwerp, Flanders",10 m,Bram Vogels,2020-03-15,09:00,2020-03-15,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896181,,Bram Vogels,CC BY-NC
896180@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896180,XC896180,HumanObservation,Wildlife sounds - Frogs,,,Rana,arvalis,,Rana arvalis,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Moor Frog,4.4475,51.4089,WGS84,Belgium,"Arrondissement Antwerpen (near  Kalmthout), Antwerp, Flanders",20 m,Bram Vogels,2023-03-19,09:00,2023-03-19,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896180,,Bram Vogels,CC BY-NC
896069@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896069,XC896069,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""SD MixPre-3 II"",""microphone"":""Sennheiser MKH-70""}",,Anaxyrus,americanus,,Anaxyrus americanus,species,Animalia,Bufonidae,Animalia|ANURA|Bufonidae,ICZN,,American Toad,-78.3888,38.6397,WGS84,United States,"Lake Arrowhead, Page County, Virginia",340 m,Thomas Magarian,2024-04-10,08:08,2024-04-10,animal seen:no; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896069,has background sounds: Thryothorus ludovicianus|Cyanocitta cristata,Thomas Magarian,CC BY-NC
896068@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896068,XC896068,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""SD MixPre-3 II"",""microphone"":""Sennheiser MKH-70""}",,Anaxyrus,americanus,,Anaxyrus americanus,species,Animalia,Bufonidae,Animalia|ANURA|Bufonidae,ICZN,,American Toad,-78.3888,38.6397,WGS84,United States,"Lake Arrowhead, Page County, Virginia",340 m,Thomas Magarian,2024-04-10,08:06,2024-04-10,animal seen:no; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896068,has background sounds: Corvus brachyrhynchos|Spinus tristis|Thryothorus ludovicianus,Thomas Magarian,CC BY-NC
896067@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896067,XC896067,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""SD MixPre-3 II"",""microphone"":""Sennheiser MKH-70""}",,Anaxyrus,americanus,,Anaxyrus americanus,species,Animalia,Bufonidae,Animalia|ANURA|Bufonidae,ICZN,,American Toad,-78.3888,38.6397,WGS84,United States,"Lake Arrowhead, Page County, Virginia",340 m,Thomas Magarian,2024-04-10,08:04,2024-04-10,animal seen:no; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896067,has background sounds: Spinus tristis|Thryothorus ludovicianus|Poecile carolinensis,Thomas Magarian,CC BY-NC
896066@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896066,XC896066,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""SD MixPre-3 II"",""microphone"":""Sennheiser MKH-70""}",,Anaxyrus,americanus,,Anaxyrus americanus,species,Animalia,Bufonidae,Animalia|ANURA|Bufonidae,ICZN,,American Toad,-78.3888,38.6397,WGS84,United States,"Lake Arrowhead, Page County, Virginia",340 m,Thomas Magarian,2024-04-10,08:03,2024-04-10,animal seen:no; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896066,has background sounds: Thryothorus ludovicianus,Thomas Magarian,CC BY-NC
896065@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896065,XC896065,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""SD MixPre-3 II"",""microphone"":""Sennheiser MKH-70""}",,Anaxyrus,americanus,,Anaxyrus americanus,species,Animalia,Bufonidae,Animalia|ANURA|Bufonidae,ICZN,,American Toad,-78.3888,38.6397,WGS84,United States,"Lake Arrowhead, Page County, Virginia",340 m,Thomas Magarian,2024-04-10,08:02,2024-04-10,animal seen:no; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896065,"has background sounds: Thryothorus ludovicianus, crow",Thomas Magarian,CC BY-NC
895923@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC895923,XC895923,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Smartphone"",""microphone"":""build in""}",,Pelophylax,lessonae,,Pelophylax lessonae,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Pool Frog,8.6555,50.1766,WGS84,Germany,"Kreisfreie Stadt Frankfurt am Main (near  Frankfurt), Darmstadt, Hessen",100 m,brickegickel,2024-04-14,10:30,2024-04-14,animal seen:no; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC895923,,brickegickel,CC BY-NC
895921@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC895921,XC895921,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Smartphone"",""microphone"":""build in""}",,Pelophylax,ridibundus,,Pelophylax ridibundus,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Marsh Frog,8.6555,50.1766,WGS84,Germany,"Kreisfreie Stadt Frankfurt am Main (near  Frankfurt), Darmstadt, Hessen",100 m,brickegickel,2024-04-14,10:30,2024-04-14,animal seen:no; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC895921,,brickegickel,CC BY-NC
